course number,name,units,schedule,professor
15573,Fil 40 THY-1,3.0,TTh 4-5:30PM,"PALIS, RICAMELA"
15574,Fil 40 THY-2,3.0,TTh 4-5:30PM,"RODRIGUEZ, MARY JANE"
15576,Fil 40 THY-3,3.0,TTh 4-5:30PM,TBA
15672,Fil 40 THY-4,3.0,TTh 4-5:30PM,"NAVAL, JIMMUEL"
15704,Fil 40 THZ,3.0,TTh 5:30-7PM,TBA
15506,Fil 40 WFQ,3.0,WF 7-8:30AM,"PAZ, VINA"
15510,Fil 40 WFQ-1,3.0,WF 7-8:30AM,"CONCEPCION, GERARD"
15505,Fil 40 WFR,3.0,WF 8:30-10AM,"CONCEPCION, GERARD"
15509,Fil 40 WFR-1,3.0,WF 8:30-10AM,"PAZ, VINA"
15521,Fil 40 WFU,3.0,WF 10-11:30AM,"ABIERA, AURA BERTA"
15523,Fil 40 WFU-1,3.0,WF 10-11:30AM,"LEGASPI, WILFREDA"
15524,Fil 40 WFU-2,3.0,WF 10-11:30AM,"PAZ, VINA"
15708,Fil 40 WFU-3,3.0,WF 10-11:30AM,"MANANSALA, MAYNARD"
15532,Fil 40 WFV,3.0,WF 11:30AM-1PM,"ABIERA, AURA BERTA"
15533,Fil 40 WFV-1,3.0,WF 11:30AM-1PM,"ELISERIO, U"
15534,Fil 40 WFV-2,3.0,WF 11:30AM-1PM,"JOCSON, SCHEDAR"
15535,Fil 40 WFV-3,3.0,WF 11:30AM-1PM,"LARANJO, RONEL"
15536,Fil 40 WFV-4,3.0,WF 11:30AM-1PM,"LEGASPI, WILFREDA"
15547,Fil 40 WFW,3.0,WF 1-2:30PM,"FLORES, MA. CRISANTA"
15549,Fil 40 WFW-2,3.0,WF 1-2:30PM,"LARANJO, RONEL"
15675,Fil 40 WFW-3,3.0,WF 1-2:30PM,"SALANGA-TORRALBA, ELYRAH"
15685,Fil 40 WFW-4,3.0,WF 1-2:30PM,"LEGASPI, WILFREDA"
15702,Fil 40 WFW-5,3.0,WF 1-2:30PM,TBA
15564,Fil 40 WFX,3.0,WF 2:30-4PM,"ENCABO, EVANGELINE"
15565,Fil 40 WFX-1,3.0,WF 2:30-4PM,"FLORES, MA. CRISANTA"
15567,Fil 40 WFX-2,3.0,WF 2:30-4PM,"PEREZ, PAULINE MICHAELA"
15676,Fil 40 WFX-3,3.0,WF 2:30-4PM,"SALANGA-TORRALBA, ELYRAH"
15683,Fil 40 WFX-4,3.0,WF 2:30-4PM,"PEREGRINO, JOVY"
15693,Fil 40 WFX-5,3.0,WF 2:30-4PM,"LARANJO, RONEL"
15703,Fil 40 WFX-6,3.0,WF 2:30-4PM,TBA
15575,Fil 40 WFY,3.0,WF 4-5:30PM,"ELISERIO, U"
15656,Fil 40 WFY-1,3.0,WF 4-5:30PM,"ENCABO, EVANGELINE"
15664,Fil 50 WFX,3.0,WF 2:30-4PM,"ROSAL, NOEMI"
15606,Fil 104 WFV,3.0,WF 11:30AM-1PM,"PEREZ, APRIL"
15691,Fil 128 THQ,3.0,TTh 7-8:30AM,"CONCEPCION, GERARD"
15610,Fil 128 WFW,3.0,WF 1-2:30PM,"JOCSON, SCHEDAR"
15603,Fil 155 THV,3.0,TTh 11:30AM-1PM,"ABIERA, AURA BERTA"
15613,Fil 180 THX,3.0,TTh 2:30-4PM,"LEGASPI, WILFREDA"
15659,Fil 180 THX-1,3.0,TTh 2:30-4PM,"JOCSON, SCHEDAR"
15502,Fil 198 THQ,3.0,TTh 7-8:30AM,"CONCEPCION, GERARD"
15679,Fil 200 SABC,3.0,S 7-10AM,TBA
15632,Fil 203 TNOP,3.0,M 5-8PM,"LARANJO, RONEL"
15633,Fil 208 WNOP,3.0,W 5-8PM,"PEREZ, APRIL"
15597,Fil 225 FNOP,3.0,F 5-8PM,"PAZ, VINA"
15588,Fil 225 TNOP,3.0,T 5-8PM,"ABIERA, AURA BERTA"
15599,Fil 245 SBCD,3.0,S 8-11AM,"CONSTANTINO, PAMELA"
15592,Fil 281 HNOP,3.0,Th 5-8PM,"JOCSON, SCHEDAR"
15658,Fil 290 WNOP,3.0,W 5-8PM,"OCAMPO, NILO"
15648,Fil 298 HNOP,3.0,Th 5-8PM,"GONZALES, VLADIMEIR"
15584,Fil 299 MNOP,3.0,M 5-8PM,"CONSTANTINO, PAMELA"
15680,Fil 300 WABC,6.0,W 7-10AM,TBA
15595,Fil 350 SCDE,3.0,M 8-11AM,"PAZ, VINA"
15711,Fil 350 SCDE-1,3.0,S 9AM-12PM,"PAZ, VINA"
15596,Fil 353 FNOP,3.0,F 5-8PM,"PEREGRINO, JOVY"
15593,Fil 381 HNOP,3.0,Th 5-8PM,"OCAMPO, NILO"
15586,Fil 387 MNOP,3.0,M 5-8PM,"ZAFRA, GALILEO"
15694,Fil 400 MABC,6.0,M 7-10AM,TBA
29269,Film 10 WWX,3.0,W 1-4PM,"BAUTISTA, RAMON"
29274,Film 12 HWX,3.0,Th 1-4PM,"CABAGNOT, EDWARD PACIANO"
29282,Film 12 HWX-1,3.0,Th 1-4PM,"SALIVA, RENANTE"
29303,Film 100 HWX,3.0,Th 1-4PM,"SALIVA, RENANTE"
29258,Film 100 WRU,3.0,W 8:30-11:30AM,"DALENA, SARI RAISSA"
29304,Film 100 WRU-1,3.0,W 8:30-10:30AM,"SALIVA, RENANTE"
29264,Film 101 HWX,3.0,Th 1-4PM,"JAMON, ROEHL"
29301,Film 101 HYZ,3.0,Th 4-7PM,"DELA MERCED, MELISSA"
29273,Film 102 HRU,3.0,Th 10AM-1PM,"CABAGNOT, EDWARD PACIANO"
29266,Film 102 TWX,3.0,T 1-4PM,"TIONGSON, NICANOR"
29262,Film 103 TWX,3.0,T 1-4PM,"DEOCAMPO, NICOLAS"
