label,value
Chem 237,Chem 237
Chem 240,Chem 240
Chem 250,Chem 250
Chem 291,Chem 291
Chem 292,Chem 292
Chem 293,Chem 293
Chem 294,Chem 294
Chem 295,Chem 295
Chem 300,Chem 300
Chem 393,Chem 393
ChemE 2,ChemE 2
ChemE 102,ChemE 102
ChemE 105,ChemE 105
ChemE 123,ChemE 123
ChemE 130,ChemE 130
ChemE 131,ChemE 131
ChemE 133,ChemE 133
ChemE 135,ChemE 135
ChemE 143,ChemE 143
ChemE 145,ChemE 145
ChemE 170,ChemE 170
CL 40,CL 40
CL 100,CL 100
CL 108,CL 108
CL 110,CL 110
CL 111,CL 111
CL 112,CL 112
CL 114,CL 114
CL 121,CL 121
CL 122,CL 122
CL 123,CL 123
CL 134,CL 134
CL 143,CL 143
CL 150,CL 150
CL 151,CL 151
CL 154,CL 154
CL 200,CL 200
CL 250,CL 250
CL 270,CL 270
CL 299,CL 299
CL 300,CL 300
CL 350,CL 350
CL 400,CL 400
CoE 113,CoE 113
CoE 115,CoE 115
CoE 134,CoE 134
CoE 151,CoE 151
CoE 161,CoE 161
CoE 163,CoE 163
CoE 164,CoE 164
CoE 197,CoE 197
CoE 198,CoE 198
Comm 100,Comm 100
Comm 110,Comm 110
Comm 120,Comm 120
Comm 130,Comm 130
Comm 140,Comm 140
Comm 201,Comm 201
Comm 210,Comm 210
Comm 211,Comm 211
Comm 224,Comm 224
Comm 230,Comm 230
Comm 233,Comm 233
Comm 250,Comm 250
Comm 285,Comm 285
Comm 299,Comm 299
Comm 300,Comm 300
Comm 301,Comm 301
Comm 307,Comm 307
Comm 397,Comm 397
CRes 101,CRes 101
CRes 130,CRes 130
CRes 135,CRes 135
CRes 155,CRes 155
CRes 175,CRes 175
CRes 197,CRes 197
CRes 200,CRes 200
CS 11,CS 11
CS 12,CS 12
CS 20,CS 20
CS 21,CS 21
CS 30,CS 30
CS 31,CS 31
CS 32,CS 32
CS 33,CS 33
CS 133,CS 133
CS 135,CS 135
CS 136,CS 136
CS 138,CS 138
CS 145,CS 145
CS 150,CS 150
CS 153,CS 153
CS 165,CS 165
CS 176,CS 176
CS 180,CS 180
CS 192,CS 192
CS 194,CS 194
CS 196,CS 196
CS 199,CS 199
CS 204,CS 204
CS 210,CS 210
CS 225,CS 225
CS 239,CS 239
CS 250,CS 250
CS 253,CS 253
CS 258,CS 258
CS 266,CS 266
CS 270,CS 270
CS 282,CS 282
CS 290,CS 290
CS 295,CS 295
CS 296,CS 296
CS 297,CS 297
CS 298,CS 298
CS 300,CS 300
CS 318,CS 318
CS 397,CS 397
CS 400,CS 400
CT 15,CT 15
CT 27,CT 27
CT 109,CT 109
CT 114,CT 114
CT 117.1,CT 117.1
CT 124,CT 124
CT 171.1,CT 171.1
CT 171.2,CT 171.2
CT 197,CT 197
CT 200,CT 200
CTRA 13,CTRA 13
